prior,reps,time,state,obs,action,value
ghost,7,41,1,1,1,-0
ghost,7,42,1,1,1,-0
ghost,7,43,1,1,1,-0
ghost,7,44,1,1,1,-0
ghost,7,45,1,1,1,-0
ghost,7,46,1,1,1,-0
ghost,7,47,1,1,1,-0
ghost,7,48,1,1,1,-0
ghost,7,49,1,1,1,-0
ghost,7,50,1,1,1,-0
ghost,7,51,1,1,1,-0
ghost,7,52,1,1,1,-0
ghost,7,53,1,1,1,-0
ghost,7,54,1,1,1,-0
ghost,7,55,1,1,1,-0
ghost,7,56,1,1,1,-0
ghost,7,57,1,1,1,-0
ghost,7,58,1,1,1,-0
ghost,7,59,1,1,1,-0
ghost,7,60,1,1,1,-0
ghost,8,1,21,21,49,-47.952
ghost,8,2,2,2,3,-1.996002
ghost,8,3,1,1,1,-0
ghost,8,4,1,1,1,-0
ghost,8,5,1,1,1,-0
ghost,8,6,1,1,1,-0
ghost,8,7,1,1,1,-0
ghost,8,8,1,1,1,-0
ghost,8,9,1,1,1,-0
ghost,8,10,1,1,1,-0
ghost,8,11,1,1,1,-0
ghost,8,12,1,1,1,-0
ghost,8,13,1,1,1,-0
ghost,8,14,1,1,1,-0
ghost,8,15,1,1,1,-0
ghost,8,16,1,1,1,-0
ghost,8,17,1,1,1,-0
ghost,8,18,1,1,1,-0
ghost,8,19,1,1,1,-0
ghost,8,20,1,1,1,-0
ghost,8,21,1,1,1,-0
ghost,8,22,1,1,1,-0
ghost,8,23,1,1,1,-0
ghost,8,24,1,1,1,-0
ghost,8,25,1,1,1,-0
ghost,8,26,1,1,1,-0
ghost,8,27,1,1,1,-0
ghost,8,28,1,1,1,-0
ghost,8,29,1,1,1,-0
ghost,8,30,1,1,1,-0
ghost,8,31,1,1,1,-0
ghost,8,32,1,1,1,-0
ghost,8,33,1,1,1,-0
ghost,8,34,1,1,1,-0
ghost,8,35,1,1,1,-0
ghost,8,36,1,1,1,-0
ghost,8,37,1,1,1,-0
ghost,8,38,1,1,1,-0
ghost,8,39,1,1,1,-0
ghost,8,40,1,1,1,-0
ghost,8,41,1,1,1,-0
ghost,8,42,1,1,1,-0
ghost,8,43,1,1,1,-0
ghost,8,44,1,1,1,-0
ghost,8,45,1,1,1,-0
ghost,8,46,1,1,1,-0
ghost,8,47,1,1,1,-0
ghost,8,48,1,1,1,-0
ghost,8,49,1,1,1,-0
ghost,8,50,1,1,1,-0
ghost,8,51,1,1,1,-0
ghost,8,52,1,1,1,-0
ghost,8,53,1,1,1,-0
ghost,8,54,1,1,1,-0
ghost,8,55,1,1,1,-0
ghost,8,56,1,1,1,-0
ghost,8,57,1,1,1,-0
ghost,8,58,1,1,1,-0
ghost,8,59,1,1,1,-0
ghost,8,60,1,1,1,-0
ghost,9,1,21,21,49,-47.952
ghost,9,2,2,2,3,-1.996002
ghost,9,3,1,1,1,-0
ghost,9,4,1,1,1,-0
ghost,9,5,1,1,1,-0
ghost,9,6,1,1,1,-0
ghost,9,7,1,1,1,-0
ghost,9,8,1,1,1,-0
ghost,9,9,1,1,1,-0
ghost,9,10,1,1,1,-0
ghost,9,11,1,1,1,-0
